_computeFunctionValue              6    TK_FUNID            ----    function                      yes ----
2345                               12    TK_NUM              2345          variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    arithmeticExpression          no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
----                               -1    -----------         ----    factor                        no arithmeticExpression
-                                  12    TK_MINUS            ----    lowPrecedenceOperators        yes ----
----                               -1    -----------         ----    expPrime                      no lowPrecedenceOperators
----                               -1    -----------         ----    arithmeticExpression          no expPrime
234                                12    TK_NUM              234          variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    expPrime                      no term
*                                  12    TK_MUL              ----    highPrecedenceOperators       yes ----
----                               -1    -----------         ----    termPrime                     no highPrecedenceOperators
----                               -1    -----------         ----    term                          no termPrime
8                                  12    TK_NUM              8          variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    termPrime                     no factor
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    termPrime                     no termPrime
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    expPrime                      no expPrime
)                                  12    TK_CL               ----    factor                        yes ----
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    termPrime                     no termPrime
----                               -1    -----------         ----    factor                        no arithmeticExpression
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    arithmeticExpression          no expPrime
)                                  12    TK_CL               ----    factor                        yes ----
----                               -1    -----------         ----    arithmeticExpression          no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
----                               -1    -----------         ----    assignmentStmt                no arithmeticExpression
+                                  12    TK_PLUS             ----    lowPrecedenceOperators        yes ----
----                               -1    -----------         ----    expPrime                      no lowPrecedenceOperators
----                               -1    -----------         ----    arithmeticExpression          no expPrime
5                                  12    TK_NUM              5          variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    expPrime                      no term
*                                  12    TK_MUL              ----    highPrecedenceOperators       yes ----
----                               -1    -----------         ----    termPrime                     no highPrecedenceOperators
----                               -1    -----------         ----    term                          no termPrime
c3                                 12    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    termPrime                     no factor
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    termPrime                     no termPrime
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    expPrime                      no expPrime
;                                  12    TK_SEM              ----    assignmentStmt                yes ----
----                               -1    -----------         ----    otherStmts                    no statement
----                               -1    -----------         ----    otherStmts                    no otherStmts
if                                 13    TK_IF               ----    conditionalStmt               yes ----
----                               -1    -----------         ----    statement                     no conditionalStmt
(                                  13    TK_OP               ----    conditionalStmt               yes ----
(                                  13    TK_OP               ----    booleanExpression             yes ----
----                               -1    -----------         ----    conditionalStmt               no booleanExpression
~                                  13    TK_NOT              ----    booleanExpression             yes ----
----                               -1    -----------         ----    booleanExpression             no booleanExpression
(                                  13    TK_OP               ----    booleanExpression             yes ----
c4bbb                              13    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    booleanExpression             no variable
----                               -1    -----------         ----    booleanExpression             no booleanExpression
==                                 13    TK_EQ               ----    relationalOp                  yes ----
----                               -1    -----------         ----    booleanExpression             no relationalOp
0                                  13    TK_NUM              0          variable                      yes ----
----                               -1    -----------         ----    booleanExpression             no variable
)                                  13    TK_CL               ----    booleanExpression             yes ----
)                                  13    TK_CL               ----    booleanExpression             yes ----
EPSILON                            -1    TK_EPS              ----    logicalOp                     yes ----
----                               -1    -----------         ----    booleanExpression             no logicalOp
(                                  13    TK_OP               ----    booleanExpression             yes ----
c4bbb                              13    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    booleanExpression             no variable
----                               -1    -----------         ----    booleanExpression             no booleanExpression
>                                  13    TK_GT               ----    relationalOp                  yes ----
----                               -1    -----------         ----    booleanExpression             no relationalOp
78.56                              13    TK_RNUM             78.559998    variable                      yes ----
----                               -1    -----------         ----    booleanExpression             no variable
)                                  13    TK_CL               ----    booleanExpression             yes ----
)                                  13    TK_CL               ----    conditionalStmt               yes ----
then                               15    TK_THEN             ----    conditionalStmt               yes ----
c6                                 15    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    assignmentStmt                no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    statement                     no assignmentStmt
<---                               15    TK_ASSIGNOP         ----    assignmentStmt                yes ----
d4cbcd5677                         15    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    arithmeticExpression          no term
/                                  15    TK_DIV              ----    highPrecedenceOperators       yes ----
----                               -1    -----------         ----    termPrime                     no highPrecedenceOperators
----                               -1    -----------         ----    term                          no termPrime
c4bbb                              15    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    termPrime                     no factor
----                               -1    -----------         ----    termPrime                     no termPrime
----                               -1    -----------         ----    assignmentStmt                no arithmeticExpression
----                               -1    -----------         ----    arithmeticExpression          no expPrime
ERROR_SYNTHETIC                    17    TK_SEM              ----    assignmentStmt                yes ----
----                               -1    -----------         ----    conditionalStmt               no statement
EPSILON                            -1    TK_EPS              ----    otherStmts                    yes ----
----                               -1    -----------         ----    conditionalStmt               no otherStmts
else                               17    TK_ELSE             ----    elsePart                      yes ----
----                               -1    -----------         ----    conditionalStmt               no elsePart
write                              17    TK_WRITE            ----    ioStmt                        yes ----
----                               -1    -----------         ----    statement                     no ioStmt
(                                  17    TK_OP               ----    ioStmt                        yes ----
c4bbb                              17    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    ioStmt                        no variable
)                                  17    TK_CL               ----    ioStmt                        yes ----
;                                  17    TK_SEM              ----    ioStmt                        yes ----
----                               -1    -----------         ----    elsePart                      no statement
EPSILON                            -1    TK_EPS              ----    otherStmts                    yes ----
----                               -1    -----------         ----    elsePart                      no otherStmts
endif                              19    TK_ENDIF            ----    elsePart                      yes ----
----                               -1    -----------         ----    otherStmts                    no statement
----                               -1    -----------         ----    otherStmts                    no otherStmts
----                               -1    -----------         ----    otherStmts                    no otherStmts
EPSILON                            -1    TK_EPS              ----    returnStmt                    yes ----
----                               -1    -----------         ----    statementSequence             no returnStmt
end                                21    TK_END              ----    function                      yes ----
----                               -1    -----------         ----    program                       no otherFunctions
EPSILON                            -1    TK_EPS              ----    otherFunctions                yes ----
----                               -1    -----------         ----    otherFunctions                no otherFunctions
----                               -1    -----------         ----    NULL                          no program
_main                              24    TK_MAIN             ----    mainFunction                  yes ----
----                               -1    -----------         ----    program                       no mainFunction
EPSILON                            -1    TK_EPS              ----    typeDefinitions               yes ----
----                               -1    -----------         ----    statementSequence             no typeDefinitions
----                               -1    -----------         ----    mainFunction                  no statementSequence
type                               25    TK_TYPE             ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declaration
int                                25    TK_INT              ----    primitiveDatatype             yes ----
----                               -1    -----------         ----    dataType                      no primitiveDatatype
----                               -1    -----------         ----    declaration                   no dataType
ERROR_SYNTHETIC                    25    TK_COLON            ----    declaration                   yes ----
b5                                 25    TK_ID               ----    declaration                   yes ----
EPSILON                            -1    TK_EPS              ----    globalSpecifier               yes ----
----                               -1    -----------         ----    declaration                   no globalSpecifier
;                                  25    TK_SEM              ----    declaration                   yes ----
----                               -1    -----------         ----    statementSequence             no declarations
type                               26    TK_TYPE             ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declaration
int                                26    TK_INT              ----    primitiveDatatype             yes ----
----                               -1    -----------         ----    dataType                      no primitiveDatatype
----                               -1    -----------         ----    declaration                   no dataType
:                                  26    TK_COLON            ----    declaration                   yes ----
d5cb34567                          26    TK_ID               ----    declaration                   yes ----
EPSILON                            -1    TK_EPS              ----    globalSpecifier               yes ----
----                               -1    -----------         ----    declaration                   no globalSpecifier
;                                  26    TK_SEM              ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declarations
type                               27    TK_TYPE             ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declaration
int                                27    TK_INT              ----    primitiveDatatype             yes ----
----                               -1    -----------         ----    dataType                      no primitiveDatatype
----                               -1    -----------         ----    declaration                   no dataType
:                                  27    TK_COLON            ----    declaration                   yes ----
b3b444                             27    TK_ID               ----    declaration                   yes ----
:                                  27    TK_COLON            ----    globalSpecifier               yes ----
----                               -1    -----------         ----    declaration                   no globalSpecifier
global                             27    TK_GLOBAL           ----    globalSpecifier               yes ----
;                                  27    TK_SEM              ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declarations
type                               28    TK_TYPE             ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declaration
real                               28    TK_REAL             ----    primitiveDatatype             yes ----
----                               -1    -----------         ----    dataType                      no primitiveDatatype
----                               -1    -----------         ----    declaration                   no dataType
:                                  28    TK_COLON            ----    declaration                   yes ----
c3                                 28    TK_ID               ----    declaration                   yes ----
EPSILON                            -1    TK_EPS              ----    globalSpecifier               yes ----
----                               -1    -----------         ----    declaration                   no globalSpecifier
;                                  28    TK_SEM              ----    declaration                   yes ----
----                               -1    -----------         ----    declarations                  no declarations
EPSILON                            -1    TK_EPS              ----    declarations                  yes ----
----                               -1    -----------         ----    declarations                  no declarations
b5                                 29    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    assignmentStmt                no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    statement                     no assignmentStmt
ERROR_SYNTHETIC                    29    TK_ASSIGNOP         ----    assignmentStmt                yes ----
EPSILON                            -1    TK_EPS              ----    arithmeticExpression          yes ----
----                               -1    -----------         ----    assignmentStmt                no arithmeticExpression
;                                  29    TK_SEM              ----    assignmentStmt                yes ----
----                               -1    -----------         ----    otherStmts                    no statement
----                               -1    -----------         ----    statementSequence             no otherStmts
[                                  31    TK_SQL              ----    outputParameters              yes ----
----                               -1    -----------         ----    funCallStmt                   no outputParameters
c3                                 31    TK_ID               ----    idList                        yes ----
----                               -1    -----------         ----    outputParameters              no idList
EPSILON                            -1    TK_EPS              ----    remainingIdentifiers          yes ----
----                               -1    -----------         ----    idList                        no remainingIdentifiers
]                                  31    TK_SQR              ----    outputParameters              yes ----
<---                               31    TK_ASSIGNOP         ----    outputParameters              yes ----
----                               -1    -----------         ----    statement                     no funCallStmt
call                               31    TK_CALL             ----    funCallStmt                   yes ----
_computeFunctionValue              31    TK_FUNID            ----    funCallStmt                   yes ----
with                               31    TK_WITH             ----    funCallStmt                   yes ----
parameters                         31    TK_PARAMETERS       ----    funCallStmt                   yes ----
[                                  31    TK_SQL              ----    inputParameters               yes ----
----                               -1    -----------         ----    funCallStmt                   no inputParameters
b5                                 31    TK_ID               ----    idList                        yes ----
----                               -1    -----------         ----    inputParameters               no idList
,                                  31    TK_COMMA            ----    remainingIdentifiers          yes ----
----                               -1    -----------         ----    idList                        no remainingIdentifiers
d5cb34567                          31    TK_ID               ----    idList                        yes ----
----                               -1    -----------         ----    remainingIdentifiers          no idList
